latvian_name,english_name,latitude,longitude
Afganistāna,Afghanistan,33.0,65.0
Albānija,Albania,41.0,20.0
Amerikas,United States,38.0,-97.0
Argentīna,Argentina,-38.416097,-63.616672
Arktika,Arctic,83.0,0.0
Armēnija,Armenia,40.0,45.0
Arābija,Saudi Arabia,25.0,45.0
Austrija,Austria,47.33333333,13.33333333
Austrumeiropa,Eastern Europe,50.0,28.0
Austrālija,Australia,-27.0,133.0
Azerbaidžāna,Azerbaijan,40.5,47.5
Baltija,Baltic States,57.0,24.0
Baltkrievija,Belarus,53.0,28.0
Bauska,Bauska,56.4075,24.1875
Beļģija,Belgium,50.83333333,4.0
Bosnija,Bosnia and Herzegovina,44.0,18.0
Brazīlija,Brazil,-10.0,-55.0
Bulgārija,Bulgaria,43.0,25.0
Burkinafaso,Burkina Faso,13.0,-2.0
Dienvidkoreja,South Korea,37.0,127.5
Dienvidāfrika,South Africa,-29.0,24.0
Dānija,Denmark,56.0,10.0
Eiropa,Europe,54.5,15.0
Francija,France,46.0,2.0
Fēru,Faroe Islands,62.0,-7.0
Grenlande,Greenland,72.0,-40.0
Grieķija,Greece,39.0,22.0
Gruzija,Georgia,42.0,43.5
Gvatemala,Guatemala,15.5,-90.25
Honkonga,Hong Kong,22.267,114.188
Horvātija,Croatia,45.16666666,15.5
Igaunija,Estonia,59.0,26.0
Indija,India,20.0,77.0
Indonēzija,Indonesia,-5.0,120.0
Irāka,Iraq,33.0,44.0
Irāna,Iran,32.0,53.0
Islande,Iceland,65.0,-18.0
Itālija,Italy,42.83333333,12.83333333
Izraēla,Israel,31.47,35.13
Japāna,Japan,36.0,138.0
Jaunzēlande,New Zealand,-41.0,174.0
Jelgava,Jelgava,56.6511,23.7214
Jēkabpils,Jekabpils,56.4994,25.8667
Kabiles,Kabile,56.4242,21.6092
Kaboverde,Cape Verde,16.0,-24.0
Kanāda,Canada,60.0,-95.0
Kazahstāna,Kazakhstan,48.0,68.0
Kenija,Kenya,1.0,38.0
Kirgizstāna,Kyrgyzstan,41.0,75.0
Kolumbija,Colombia,4.0,-72.0
Krievija,Russia,60.0,100.0
Kuba,Cuba,21.5,-80.0
Kuldīga,Kuldiga,56.9682,21.9703
Kurzemes,Courland,56.97,21.97
Latvija,Latvia,57.0,25.0
Libāna,Lebanon,33.83333333,35.83333333
Lielbritānija,United Kingdom,54.0,-2.0
Lietuva,Lithuania,56.0,24.0
Lihtenšteina,Liechtenstein,47.26666666,9.53333333
Livonija,Livonia,58.0,26.0
Luksemburga,Luxembourg,49.75,6.16666666
Malta,Malta,35.83333333,14.58333333
Maroka,Morocco,32.0,-5.0
Meksika,Mexico,23.0,-102.0
Melnkalne,Montenegro,42.5,19.3
Moldova,Moldova,47.0,29.0
Mārupe,Marupe,56.9047,24.0517
Nigērija,Nigeria,10.0,8.0
Norvēģija,Norway,62.0,10.0
Nīderlande,Netherlands,52.5,5.75
Okeānija,Oceania,-22.0,140.0
Osaka,Osaka,34.6937,135.5023
Padomju,Soviet Union,55.7558,37.6173
Palestīna,Palestine,31.9,35.2
Peru,Peru,-10.0,-76.0
Polija,Poland,52.0,20.0
Portugāle,Portugal,39.5,-8.0
Puertoriko,Puerto Rico,18.25,-66.5
Rumānija,Romania,46.0,25.0
Serbija,Serbia,44.0,21.0
Slovākija,Slovakia,48.66666666,19.5
Slovēnija,Slovenia,46.11666666,14.81666666
Somija,Finland,64.0,26.0
Spānija,Spain,40.0,-4.0
Sīrija,Syria,35.0,38.0
Taivāna,Taiwan,23.5,121.0
Turcija,Turkey,39.0,35.0
Tuva,Tuva,51.727,94.45
Uganda,Uganda,1.0,32.0
Ukraina,Ukraine,49.0,32.0
Ungārija,Hungary,47.0,20.0
Urugvaja,Uruguay,-33.0,-56.0
Uzbekistāna,Uzbekistan,41.0,64.0
Vatikāns,Vatican City,41.9,12.45
Vācija,Germany,51.0,9.0
Ziemeļeiropa,Northern Europe,62.0,15.0
Ziemeļmaķedonija,North Macedonia,41.83333333,22.0
Ziemeļvalstis,Nordic countries,64.0,16.0
Zimbabve,Zimbabwe,-20.0,30.0
Zviedrija,Sweden,62.0,15.0
Āfrika,Africa,8.0,21.0
Āzija,Asia,34.0,100.0
Čehija,Czech Republic,49.75,15.5
Čehoslovākija,Czechoslovakia,49.8175,15.473
Čīle,Chile,-30.0,-71.0
Īrija,Ireland,53.0,-8.0
Ķīna,China,35.0,105.0
Šveice,Switzerland,47.0,8.0
