control_number_001,080_udc_number,udc_label_en
NBA01-000672515,821.174.09,Latvian literature: history and criticism
NBA01-003396919,7,Applied sciences
NBA01-003484644,77,Photography and similar processes
NBA01-003485652,82.09,Literary studies. History and criticism of literature
NBA01-003486221,791,Cinema. Films
NBA01-003486589,741/744,
NBA01-003486722,398,
NBA01-003486731,791,Cinema. Films
NBA01-003486785,030,
NBA01-003486820,394,Customs. Etiquette. Ceremonies
NBA01-003486826,791,Cinema. Films
NBA01-003486922,792,Theatre. Stagecraft. Performing arts
NBA01-003486980,75,Painting. Drawing
NBA01-003487114,792,Theatre. Stagecraft. Performing arts
NBA01-003487137,355.48,
NBA01-003487442,82.09,Literary studies. History and criticism of literature
NBA01-003487462,791,Cinema. Films
NBA01-003487470,791,Cinema. Films
NBA01-003487554,792,Theatre. Stagecraft. Performing arts
NBA01-003487582,821.174.09,Latvian literature: history and criticism
NBA01-003487613,75,Painting. Drawing
NBA01-003487617,78,Music
NBA01-003487654,791,Cinema. Films
NBA01-003487684,792,Theatre. Stagecraft. Performing arts
NBA01-003487699,792,Theatre. Stagecraft. Performing arts
NBA01-003487733,73,Plastic arts
NBA01-003487845,791,Cinema. Films
NBA01-003487879,76,
NBA01-003487900,008,General serial publications
NBA01-003487906,791,Cinema. Films
NBA01-003488084,792,Theatre. Stagecraft. Performing arts
NBA01-003488085,791,Cinema. Films
NBA01-003488098,75,Painting. Drawing
NBA01-003488222,75,Painting. Drawing
NBA01-003488481,791,Cinema. Films
NBA01-003488560,791,Cinema. Films
NBA01-003488695,791,Cinema. Films
NBA01-003488710,75,Painting. Drawing
NBA01-003488752,77,Photography and similar processes
NBA01-003488774,791,Cinema. Films
NBA01-003488780,791,Cinema. Films
NBA01-003488834,36,
NBA01-003488880,636,
NBA01-003488977,792,Theatre. Stagecraft. Performing arts
NBA01-003489011,791,Cinema. Films
NBA01-003489069,77,Photography and similar processes
NBA01-003489084,664,
NBA01-003489242,791,Cinema. Films
NBA01-003489244,791,Cinema. Films
NBA01-003489250,791,Cinema. Films
NBA01-003489417,791,Cinema. Films
NBA01-003489447,792,Theatre. Stagecraft. Performing arts
NBA01-003489470,792,Theatre. Stagecraft. Performing arts
NBA01-003489490,792,Theatre. Stagecraft. Performing arts
NBA01-003489505,792,Theatre. Stagecraft. Performing arts
NBA01-003489528,76,
NBA01-003489683,75,Painting. Drawing
NBA01-003489769,741/744,
NBA01-003489772,791,Cinema. Films
NBA01-003489826,7,Applied sciences
NBA01-003489870,7,Applied sciences
NBA01-003489880,792,Theatre. Stagecraft. Performing arts
NBA01-003489914,070,
NBA01-003489946,72,
NBA01-003489961,73,Plastic arts
NBA01-003489975,75,Painting. Drawing
NBA01-003490013,791,Cinema. Films
NBA01-003490305,791,Cinema. Films
NBA01-003490362,791,Cinema. Films
NBA01-003490392,75,Painting. Drawing
NBA01-003490395,745/749,Decorative arts. Applied arts
NBA01-003490416,77,Photography and similar processes
NBA01-003490475,664,
NBA01-003490577,664,
NBA01-003490626,76,
NBA01-003490957,355/359,
NBA01-003490959,75,Painting. Drawing
NBA01-003490993,77,Photography and similar processes
NBA01-003491056,791,Cinema. Films
NBA01-003491142,75,Painting. Drawing
NBA01-003491160,792,Theatre. Stagecraft. Performing arts
